,secID,tradeDate,ticker,ChgPct,Close,DownPct,LimitDownPct,LimitUpPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
927,000001.ZICN,2018-10-24,000001,0.3264,2603.295,36.2719,0.0673,1.5478,2577.9761,2575.6292,2668.9154,2721.1798,2856.7463,-8.3213,-41.0676,-36.9069,1.2771,2.2805,11.5477,38.8604,45.4648,1.41959957801e+11,15987367900,55.5182,2019-01-23 15:21:34
928,000001.ZICN,2018-10-25,000001,0.0194,2603.7995,61.7766,0.2692,1.2786,2601.4523,2577.6635,2662.5629,2716.1823,2852.7594,-2.8351,-38.6788,-37.2613,1.2781,2.261,11.543,38.6697,45.5235,1.37630180921e+11,16203297900,32.9744,2019-01-23 15:21:34
929,000001.ZICN,2018-10-26,000001,-0.1902,2598.8468,29.5424,0.4038,2.2207,2611.1286,2576.8569,2656.043,2711.4593,2848.74,0.7995,-36.7616,-37.1613,1.2729,2.2398,11.5426,39.4233,45.0049,1.33415492779e+11,15893611900,64.7376,2019-01-23 15:21:34
930,000001.ZICN,2018-10-29,000001,-2.1834,2542.1033,79.8789,2.288,1.144,2588.574,2574.2574,2643.2739,2705.9345,2844.0837,-3.5292,-39.3671,-37.6025,1.2397,2.1823,11.2646,37.808,39.3961,1.22500040547e+11,13424192300,16.1507,2019-01-23 15:21:34
931,000001.ZICN,2018-10-30,000001,1.0206,2568.0481,17.6985,0.3365,2.2207,2583.2185,2576.4292,2632.6194,2700.9178,2839.7255,-2.0603,-38.8901,-37.86,1.2429,2.1798,11.3541,37.9559,42.943,1.52385934983e+11,16668230900,78.6676,2019-01-23 15:21:34
932,000001.ZICN,2018-10-31,000001,1.3526,2602.7832,11.7093,0.2019,2.8937,2583.1162,2580.5461,2622.4179,2696.3575,2835.2766,4.0922,-35.3024,-37.3485,1.2385,2.2028,11.4099,37.9693,47.436,1.54894735274e+11,18055034800,84.8587,2019-01-23 15:21:34
933,000001.ZICN,2018-11-01,000001,0.1327,2606.2372,43.3378,0.0673,1.6151,2583.6037,2592.528,2613.141,2692.7192,2830.6495,8.8558,-31.8136,-36.2415,1.2393,2.2137,11.4173,38.1863,47.8812,1.80253805583e+11,20090393200,48.6541,2019-01-23 15:21:34
934,000001.ZICN,2018-11-02,000001,2.695,2676.4762,2.6227,0.269,1.6812,2599.1296,2605.1291,2605.8973,2691.1934,2826.6272,21.0031,-23.1146,-33.6161,1.2722,2.2736,11.7235,39.2207,56.1251,2.07861568971e+11,22502692100,96.234,2019-01-23 15:21:34
935,000001.ZICN,2018-11-05,000001,-0.4127,2665.4306,34.5662,0.1345,3.1607,2623.7951,2606.1845,2603.3434,2689.9432,2822.3857,26.7188,-16.9169,-30.2763,1.2657,2.2926,11.664,39.7478,54.6424,1.68588913433e+11,19376010000,60.5918,2019-01-23 15:21:34
936,000001.ZICN,2018-11-06,000001,-0.2279,2659.3564,58.7088,0.6725,2.2192,2642.0567,2612.6376,2600.2605,2689.1799,2818.1864,28.6775,-12.3528,-26.6916,1.2626,2.2883,11.6352,39.7607,53.7899,1.38800936379e+11,16366947900,36.2475,2019-01-23 15:21:34
937,000001.ZICN,2018-11-07,000001,-0.6774,2641.342,66.7787,0.1345,1.5467,2649.7685,2616.4423,2596.0358,2686.8794,2813.7474,26.5893,-10.0733,-23.3679,1.2542,2.2797,11.5577,39.7143,51.2052,1.47261808711e+11,17320198600,28.7155,2019-01-23 15:21:34
938,000001.ZICN,2018-11-08,000001,-0.2162,2635.6322,56.4223,0.1345,2.152,2655.6475,2619.6256,2598.6445,2685.0721,2809.11,23.5838,-8.628,-20.4199,1.2519,2.2747,11.5372,39.6546,50.3683,1.28668816737e+11,15963548700,38.1305,2019-01-23 15:21:34
939,000001.ZICN,2018-11-09,000001,-1.3948,2598.8715,62.4748,0.2017,2.2865,2640.1265,2619.6281,2598.2425,2681.8136,2804.3542,16.1442,-10.3299,-18.4019,1.2321,2.2623,11.3539,39.5384,45.1821,1.21260494142e+11,15244630700,32.4815,2019-01-23 15:21:34
940,000001.ZICN,2018-11-12,000001,1.2178,2630.5195,3.9005,0.0672,3.9677,2633.1443,2628.4697,2601.3635,2679.067,2799.9895,15.0097,-9.0208,-16.5257,1.2455,2.3257,11.478,40.5252,50.0158,1.42351428441e+11,17503130800,95.2253,2019-01-23 15:21:34
941,000001.ZICN,2018-11-13,000001,0.9261,2654.8795,11.3652,0.0,3.6315,2632.2489,2637.1528,2606.791,2676.8838,2795.5026,16.9224,-5.9492,-14.4104,1.256,2.368,11.5741,41.4075,53.4616,1.89607223526e+11,24928244700,86.3484,2019-01-23 15:21:34
942,000001.ZICN,2018-11-14,000001,-0.8527,2632.2425,56.2206,0.6052,1.4122,2630.429,2640.0988,2610.3224,2674.4051,2790.656,14.6076,-5.2807,-12.5845,1.2445,2.3617,11.4682,41.4201,49.9694,1.76970430721e+11,23844935100,38.6012,2019-01-23 15:21:34
943,000001.ZICN,2018-11-15,000001,1.3649,2668.1704,9.9529,0.4707,2.3537,2636.9367,2646.2921,2619.41,2673.487,2786.1045,17.2061,-1.8307,-10.4337,1.261,2.4047,11.6205,41.5579,55.0528,1.71882491636e+11,20784872100,86.9536,2019-01-23 15:21:34
944,000001.ZICN,2018-11-16,000001,0.41,2679.1097,29.8588,0.0672,3.6315,2652.9843,2646.5554,2625.8423,2673.0523,2782.0224,19.5193,1.7659,-7.9938,1.2654,2.4295,11.6616,42.0317,56.5203,2.04983603876e+11,24219884900,64.0888,2019-01-23 15:21:34
945,000001.ZICN,2018-11-19,000001,0.9108,2703.5116,40.0134,0.4707,2.2865,2667.5827,2650.3635,2628.274,2673.6281,2778.2629,23.2062,6.5101,-5.093,1.2776,2.4389,11.7732,42.2788,59.7203,1.96562706695e+11,23166282700,54.6738,2019-01-23 15:21:34
946,000001.ZICN,2018-11-20,000001,-2.1327,2645.8545,90.4506,1.2105,0.7397,2665.7777,2649.0133,2630.8255,2672.7512,2774.1341,17.0344,5.5535,-2.9637,1.2516,2.3811,11.5341,41.1988,50.1974,1.80870411783e+11,21589130900,8.2717,2019-01-23 15:21:34
947,000001.ZICN,2018-11-21,000001,0.2136,2651.5053,29.119,0.1345,1.8157,2669.6303,2650.0297,2633.236,2671.3792,2770.1043,13.0483,5.1915,-1.3327,1.2538,2.4085,11.5545,41.591,51.0322,1.49375782375e+11,18259644700,65.77,2019-01-23 15:21:34
948,000001.ZICN,2018-11-22,000001,-0.229,2645.4339,51.0424,0.2017,1.614,2665.083,2651.0098,2635.3177,2670.2263,2766.1458,9.1153,4.3644,-0.1933,1.2506,2.4031,11.5246,41.6431,50.0489,1.25570173768e+11,14930906300,42.9724,2019-01-23 15:21:34
949,000001.ZICN,2018-11-23,000001,-2.493,2579.4831,96.0995,4.7747,0.4035,2645.1577,2649.071,2634.3495,2667.8073,2762.2961,-2.2418,-1.5944,-0.4735,1.2218,2.3044,11.2591,39.7788,40.745,1.49975643908e+11,19147454900,3.0935,2019-01-23 15:21:34
950,000001.ZICN,2018-11-26,000001,-0.1424,2575.8101,53.3961,1.345,0.6052,2619.6174,2643.6001,2636.0349,2665.2469,2757.9656,-9.7029,-6.5378,-1.6864,1.2209,2.2919,11.2506,39.7329,40.29,1.08158092986e+11,13431454000,40.4169,2019-01-23 15:21:34
951,000001.ZICN,2018-11-27,000001,-0.0439,2574.6792,30.9348,0.1345,0.8742,2605.3823,2635.58,2636.3664,2661.8099,2753.7951,-13.9843,-10.4265,-3.4344,1.2198,2.3096,11.241,40.0707,40.1394,1.02226561357e+11,12365843600,63.6853,2019-01-23 15:21:34
